params,mean_test_score,mean_train_score,model
{'model__n_neighbors': 2},0.3135495495495495,0.7452604879800677,KNeighborsClassifier()
{'model__n_neighbors': 5},0.3298018018018018,0.6099167246526453,KNeighborsClassifier()
{'model__n_neighbors': 10},0.33484684684684685,0.5321945635339274,KNeighborsClassifier()
{'model__n_neighbors': 20},0.27863063063063065,0.4383627752463469,KNeighborsClassifier()
{'model__n_neighbors': 50},0.2116036036036036,0.272810935781464,KNeighborsClassifier()
{'model__C': 0.001},0.16086486486486487,0.1608583421247559,LogisticRegression()
{'model__C': 0.01},0.16086486486486487,0.16621624654889902,LogisticRegression()
{'model__C': 0.1},0.3401081081081081,0.5911517137662455,LogisticRegression()
{'model__C': 1.0},0.5304864864864864,0.979221566294808,LogisticRegression()
{'model__C': 10.0},0.5412612612612613,1.0,LogisticRegression()
{'model__C': 0.001},0.25437837837837834,0.42023523602163815,LinearSVC()
{'model__C': 0.01},0.4796756756756757,0.7888532243945142,LinearSVC()
{'model__C': 0.1},0.576072072072072,0.9805683374110569,LinearSVC()
{'model__C': 1.0},0.5733693693693693,1.0,LinearSVC()
{'model__C': 10.0},0.5385585585585586,1.0,LinearSVC()
{'model__C': 0.001},0.16086486486486487,0.1608583421247559,SVC()
{'model__C': 0.01},0.16086486486486487,0.1608583421247559,SVC()
{'model__C': 0.1},0.16086486486486487,0.1608583421247559,SVC()
{'model__C': 1.0},0.3858018018018018,0.7633902718233037,SVC()
{'model__C': 10.0},0.43686486486486487,0.9899463536172026,SVC()
{'model__C': 0.001},0.4393513513513514,0.9168885097977597,PassiveAggressiveClassifier()
{'model__C': 0.01},0.5413693693693693,0.987937420035465,PassiveAggressiveClassifier()
{'model__C': 0.1},0.5306306306306307,1.0,PassiveAggressiveClassifier()
{'model__C': 1.0},0.5358558558558558,1.0,PassiveAggressiveClassifier()
{'model__C': 10.0},0.536036036036036,1.0,PassiveAggressiveClassifier()
"{'model__alpha': 1e-05, 'model__penalty': 'l2'}",0.4554594594594595,0.9993311036789297,Perceptron()
"{'model__alpha': 0.0001, 'model__penalty': 'l2'}",0.46371171171171177,0.987277502188503,Perceptron()
"{'model__alpha': 0.001, 'model__penalty': 'l2'}",0.3912432432432432,0.8612578842225764,Perceptron()
"{'model__alpha': 0.01, 'model__penalty': 'l2'}",0.2357477477477478,0.45313236515454197,Perceptron()
"{'model__alpha': 1e-05, 'model__hidden_layer_sizes': (5,)}",0.3832432432432432,0.6662050234562635,MLPClassifier()
"{'model__alpha': 1e-05, 'model__hidden_layer_sizes': (50,)}",0.5627747747747748,1.0,MLPClassifier()
"{'model__alpha': 1e-05, 'model__hidden_layer_sizes': (200,)}",0.5467387387387388,1.0,MLPClassifier()
"{'model__alpha': 1e-05, 'model__hidden_layer_sizes': (500,)}",0.5547747747747748,1.0,MLPClassifier()
"{'model__alpha': 0.0001, 'model__hidden_layer_sizes': (5,)}",0.40468468468468466,0.6756054858476801,MLPClassifier()
"{'model__alpha': 0.0001, 'model__hidden_layer_sizes': (50,)}",0.5654054054054054,1.0,MLPClassifier()
"{'model__alpha': 0.0001, 'model__hidden_layer_sizes': (200,)}",0.5654414414414415,1.0,MLPClassifier()
"{'model__alpha': 0.0001, 'model__hidden_layer_sizes': (500,)}",0.5653693693693693,1.0,MLPClassifier()
"{'model__alpha': 0.001, 'model__hidden_layer_sizes': (5,)}",0.3938378378378379,0.6790083275347354,MLPClassifier()
"{'model__alpha': 0.001, 'model__hidden_layer_sizes': (50,)}",0.5628828828828829,0.9986577181208054,MLPClassifier()
"{'model__alpha': 0.001, 'model__hidden_layer_sizes': (200,)}",0.5413333333333333,1.0,MLPClassifier()
"{'model__alpha': 0.001, 'model__hidden_layer_sizes': (500,)}",0.5655135135135135,1.0,MLPClassifier()
"{'model__alpha': 0.01, 'model__hidden_layer_sizes': (5,)}",0.40486486486486484,0.668148863100716,MLPClassifier()
"{'model__alpha': 0.01, 'model__hidden_layer_sizes': (50,)}",0.5654774774774775,1.0,MLPClassifier()
